City,State,Geo.ID,Percent of GDP based on water intensive industries_2015,Percentage of workforce in Farming Fishing and Forestry 2015,Existence of drought management plans_2015,Existence of water management plan_2015,Baseline water stress_2014,Readiness to accept adaptation investment_2015,Tax incentives for renewable energy_2015,Total number of federal public corruption convictions by district_2015,Civic engagement_2010,General innovation capabilities_2015,Estimated percent of adults who think global warming is already harming people in the US now or within 10 years_2014,Percent of population with less than 12th grade education_2015,Population density_2015,Water quality_2015,City debt_2010,Percent of population in floodzone_2015,Percent of buildings in floodzone_2015,Percent of cars in floodzone_2015,Percent of area that is impervious surface_2011,Number of acute care hospital beds available per 1000 residents_2015,Percent of population that is 65 years old or older living alone_2015,Percent of population that is 5 years old or younger_2015,Percent of population with health insurance_2015,Percent of buildings built before 1999_2015,Percent of population residing in the mobile homes_2015,Percent of population spending over 50 percent of income on rent_2015,Percent of land covered by tree canopy_2011,Percent of houses with heating_2015,Percent of population with a disability_2015,Percent of population in poverty_2015,Percent of buildings built before 1979_2015,Outdoor workers_2015,Percent of households without access to a vehicle_2015,Percent of population in 1ft sea level rise zone_2015,Percent of population in 3ft sea level rise zone_2015,Average economic impact of 1ft sea level rise_2015,Average economic impact of 3ft sea level rise_2015,,Latitutde,Longitude,County,Region, City Area_KM,2010 Population,2011 Population,2012 Population,2013 Population,2014 Population,2015 Population,Median Income
Indianapolis,IN,1600000US1836003,24.19209284,0.12616608,No,No,0.240328828,21,2,5,0.624287149,0.000116588,46,15.1,892.3694932,5,3756.67,0,0,10.93104405,28.75717729,5.66285063,8.9618856,7.5,84.3,88.39,1.3,26.2,16.49390757,0.997,13.7,18.2377825,63.8,13.8,10.1,#N/A,#N/A,,,,39.7684,-86.1581,Marion,Ohio Valley ,942.9378821,809804,815607,822006,828841,835097,841449,41987
Inglewood,CA,1600000US0636546,10.45625624,0.172742931,No,No,2.243243515,14,0,53,0.354172467,0.000361114,48,27.5,4745.896287,0,1337.92,3.25,3.76,0,65.33402125,3.312060748,8.7326479,7.6,78.6,96.85,0.3,33.8,4.419982418,0.898,11.6,15.0434996,82.4,16.94,9.7,#N/A,#N/A,,,,33.9617,-118.3531,Los Angeles,West,23.47522855,110053,109967,110225,110585,111133,111411,42044
Irvine,CA,1600000US0636770,10.45625624,0.532000645,No,Yes,5,0,0,53,0.612922732,0.000914935,45,3.7,1388.714036,0,3686.27,11.29,10.91,1.958159601,34.03219279,1.375411995,5.9632028,5.6,92.3,63.4,1.2,23.6,4.402474158,0.99,5.8,3.101966,28,2.11,4.1,0.058287277,0.070447931,2.94E-05,3.60E-05,,33.6846,-117.8265,Orange,West,171.7228989,199117,205057,213880,221266,229850,238474,92278
Irving,TX,1600000US4837000,17.66200426,0.063977889,Yes,Yes,4.66866597,21,0,48,0.394555304,0.000292555,48,20.3,1297.958574,3,1428.69,35.19,35.5,23.82004866,41.58717743,1.818372557,4.5726787,9,75,83.84,1.8,17.3,15.65335254,0.997,6.8,12.1854415,42,15.7,5.2,#N/A,#N/A,,,,32.814,-96.9489,Dallas,South,176.2583217,210025,213400,217021,220856,224859,228776,52154
Jackson,MS,1600000US2836000,9.187474134,0.14038886,No,No,2.765091863,13,0,8,0.78285093,1.63E-05,45,15.9,589.0533724,0,1814.63,25.87,25.39,43.4122766,20.93228796,14.2368889,8.7392893,7.3,82.6,92.74,1.6,30.9,50.23484488,0.998,13.3,25.375373,74,13.01,10.1,#N/A,#N/A,,,,32.2988,-90.1848,Hinds,South,294.0514529,175489,174774,174382,173997,173631,173212,32250
Jacksonville,FL,1600000US1235000,6.600272605,0.337143097,No,No,0.166149327,0,4,27,0.743802811,6.74E-05,44,11.8,389.0408749,2,8693.88,21.38,24.19,26.66511926,12.19968234,4.089965063,9.2662638,6.9,84.8,77.81,4.8,26.2,44.85483266,0.993,13.4,17.2229459,46.5,11.33,8.5,18.86708912,20.4293991,0.15837699,0.171586846,,30.3322,-81.6557,Duval,Southeast,2177.023173,811833,817602,823652,829721,837533,846951,46764
Jersey City,NJ,1600000US3436000,0.030011761,0.245935202,No,No,2.216669109,18,1,23,0.350086628,0.000259576,52,14.5,6779.300818,2,1852.58,11.51,11.51,28.84510658,65.6987977,2.595792044,7.0403198,7.3,82.4,82.8,0.1,24.3,8.662277845,0.991,9.8,16.1955622,70.4,9.44,38.5,0.880412554,4.023092536,0.006706585,0.007567686,,40.7282,-74.0776,Hudson,Northeast,38.30055738,243257,245226,248435,251717,255861,259651,59537
Joliet,IL,1600000US1738570,13.92166333,0.068811022,No,No,3.795811944,0,0,16,0.77947294,0.000466378,41,16.6,918.1720001,0,588.47,12.88,11.03,0.890621257,28.77362856,3.245041171,7.3589935,7.6,88.2,73.93,0.5,25.7,8.416596072,0.996,9.3,16.1722998,51.7,16.7,7.1,#N/A,#N/A,,,,41.525,-88.0817,Kendall/Will,Ohio Valley ,161.1005345,145002,146820,147098,147459,147786,147918,60976
Kansas City (KS),KS,1600000US2036000,11.83588339,0.256535198,Yes,No,3.97435573,0,0,2,0.733813646,4.35E-05,42,22.2,452.6229763,0,3861.46,4.69,4.81,11.96581723,21.49395389,8.034664606,9.035494,8.5,76.6,92.34,1.8,26.8,22.13997445,0.997,14.6,19.3816471,81.4,22.56,10.4,#N/A,#N/A,,,,39.1141,-94.6275,Wyandotte,Ohio Valley ,328.8719482,144025,144797,145605,146581,147598,148855,38749
Kansas City (MO),MO,1600000US2938000,11.83588339,0.40426484,No,No,2.643081608,19,3,6,0.755421031,0.000114553,40,11.6,572.605693,0,2014.32,6.77,7.29,43.94500951,21.53507183,6.660398726,9.6193977,7.1,84.5,87.53,0.9,25.6,20.01021801,0.996,12.8,16.098814,70,10.88,11.2,#N/A,#N/A,,,,39.0997,-94.5786,Jackson/Clay/Platte/Cass,South,817.2988948,454876,457551,459772,462378,465005,467990,45821
Kent,WA,1600000US5335415,14.90240839,0.126129006,No,No,2.643081608,17,0,5,0.7286975,0.002031034,49,14.6,1626.496743,13,811.68,13.37,13.27,6.558498486,43.66119659,2.437807743,7.7640708,7.3,84.9,85.1,4.4,25.9,21.11045757,0.998,10.3,20.661568,38.2,14.23,7.6,0.418369646,0.432851672,0.000311546,0.000322842,,47.3809,-122.2348,King,Northwest,76.41699903,89446,101652,108700,115703,122620,124292,60191
Killeen,TX,1600000US4839148,5.796048805,0.488240147,No,Yes,1.289059996,0,0,29,0.528400598,6.13E-05,41,8.4,962.9599358,13,546.91,12.48,12.49,14.18433321,25.07973869,1.261200487,4.3448628,10.4,85.4,65.54,2.4,17.4,17.34889797,0.995,13.1,14.0632987,29.7,9.94,5.8,#N/A,#N/A,,,,31.1171,-97.7278,Bell,South,141.6237529,120052,124041,127995,131237,134030,136378,47763
Knoxville,TN,1600000US4740000,13.89094624,0.035041953,No,No,3.120755374,20,0,8,1.122956271,0.000330822,39,12.2,684.006922,0,2974.96,27.37,27.31,13.39326165,28.66224843,9.49384375,11.7980092,5.9,87.1,89.13,1.2,25.1,35.15726487,0.995,15,20.2928225,66.4,12.53,10.9,#N/A,#N/A,,,,35.9606,-83.9207,Knox,Ohio Valley ,267.6376424,178202,179085,179973,180830,181759,183066,34226
Lafayette,LA,1600000US2240735,27.44169096,0.10156571,No,No,0,0,0,6,0.645130774,0.000250204,40,14,965.9996288,0,5385.9,5.61,6.12,27.40902081,30.71279816,9.809412555,9.5392304,5.7,84.5,83.22,2.9,26.2,22.53007622,0.998,12,13.0654673,54.9,11.67,8.6,0.171224656,0.713702773,0.001824448,0.016398269,,40.4167,-86.8753,Lafayette Parish,South,129.3810021,118803,119782,120757,122009,123528,124982,46517
Lakewood,CO,1600000US0843000,10.10084277,0.076976247,No,No,0,0,0,0,0.914544808,0.000762206,41,8.5,1309.59953,0,482.61,0.69,0.78,5.774640523,30.83049109,1.826348115,10.5669817,6,86.9,92.17,0.9,26.3,8.846782463,0.997,11.1,8.7224307,67.1,10.52,6.6,#N/A,#N/A,,,,39.7047,-105.0814,Jefferson,Southwest,112.8864181,142020,142732,143496,144530,145880,147836,56954
Lancaster,CA,1600000US0640130,10.45625624,0.161916266,No,No,5,0,1,53,0.329650613,0.000361114,48,18.6,655.8749628,0,2215.2,8.12,6.66,0.718717538,13.71446003,2.628713057,6.142071,8.1,86.6,81.84,6.7,28.5,1.296707901,0.997,9.3,10.9831952,30.6,14.14,8.3,#N/A,#N/A,,,,34.6868,-118.1542,Los Angeles,West,243.6043592,149709,152678,155496,157368,159092,159774,47225
Lansing,MI,1600000US2646000,14.47381021,0.52976745,No,No,2.473988101,16,1,2,0.876947219,0.000261031,40,12.4,1213.594635,0,3440.95,12.65,12.61,17.56471682,38.90030884,9.54710224,9.7781633,7.4,88.7,95.89,1.3,28.1,20.05550977,0.996,16.9,27.9629859,83.7,10.75,12.5,#N/A,#N/A,,,,42.7325,-84.5555,Ingham/Eaton/Clinton,Upper Midwest,94.33545329,115634,115101,114537,114274,114382,114485,35563
Laredo,TX,1600000US4841464,9.822845055,0.113468085,No,No,4.379472393,19,0,11,0.310666192,1.52E-05,46,33.7,1036.085226,13,1078.48,3,2.77,12.35715949,31.63926211,2.194048743,6.1048441,9.9,68.5,70.3,8.8,25.7,9.057745936,0.979,12,31.1847741,32.5,14.72,7.5,#N/A,#N/A,,,,27.5306,-99.4803,Webb,South,240.18777,226229,231523,236063,240524,245048,248855,39711
Las Vegas,NV,1600000US3240000,4.729880107,0.296610617,No,No,1.932331315,19,1,0,0.513810986,0.000205348,45,16.7,1734.230757,0,532.43,8.25,7.53,2.589625157,38.25901998,3.615949178,9.6918567,6.6,80.1,74.05,1.3,24.2,2.642807637,0.996,13,15.3672767,24,14.82,10.1,#N/A,#N/A,,,,36.1699,-115.1398,Clark,West,348.9137748,579786,584413,587699,591496,597353,605097,50202
Lexington-Fayette,KY,1600000US2146027,18.54909231,0.11147261,Yes,Yes,1.835717034,0,0,10,0.560628856,0.000418415,44,10.2,421.3219042,6,1324.56,13.99,13.74,8.826706727,10.54356998,7.50553022,8.1477829,6.4,88.8,81.26,1.1,25.5,14.26386267,0.997,11.3,12.72107,50,10.04,8.3,#N/A,#N/A,,,,38.0406,-84.5037,Lexington-Fayette,Ohio Valley ,731.7587739,288045,292370,296766,300843,304473,308306,49778
Lincoln,NE,1600000US3128000,10.52575507,0.879146045,No,No,0.975962807,21,1,3,0.456210761,0.000231481,38,6.9,1164.142817,0,2785.76,13.44,13.66,14.45732301,37.39304244,3.737125824,9.0718947,6.9,89.8,82.4,1.9,23.4,8.585326285,0.997,10.2,10.399353,56.1,10.71,6.9,#N/A,#N/A,,,,40.8258,-96.6852,Lancaster,Northern Rockies & Plains,231.6949398,253035,256189,259218,262365,265811,269726,49840
Little Rock,AR,1600000US0541000,8.477209066,0.470911072,No,Yes,5,20,1,10,0.552519357,0.000107565,40,9.3,631.8069976,2,1396.05,4.82,5.97,12.900482,25.2230308,12.592476,9.9459338,6.7,86.2,86.46,2.9,22.1,43.23699077,0.998,12.4,13.3388401,53.9,9.54,7.9,#N/A,#N/A,,,,34.7465,-92.2896,Pulaski,South,311.7138632,190718,192185,193691,195092,196188,196943,46085
Long Beach,CA,1600000US0643000,10.45625624,0.206706232,No,No,1.212644296,16,2,53,0.409901603,0.000361114,48,20.6,3554.873602,0,4622.71,3.79,3.92,4.775078942,62.57561343,3.366387588,8.349452,7,83.2,96.2,1.1,29.2,4.323436419,0.941,10,13.0609588,83,12.52,10.6,1.373350034,3.02613363,0.012261433,0.033984649,,33.7701,-118.1937,Los Angeles,West,132.2795274,461823,462197,463589,465424,468594,470237,52783
Los Angeles,CA,1600000US0644000,10.45625624,0.284859641,Yes,No,5,19,2,53,0.371507468,0.000361114,48,24.5,3195.878343,3,3197.43,25.61,26.09,4.095121665,43.75657161,2.723804436,8.3389375,6.4,78.8,92.75,0.6,32.7,8.662797054,0.938,9.8,10.7687072,76.9,14.24,13.1,0.063756251,0.112028474,5.81E-05,0.000162523,,34.0522,-118.2437,Los Angeles,West,1220.570241,3772486,3782544,3804503,3827261,3862210,3900794,50205
Lowell,MA,1600000US2537000,0.099105029,0.347150104,No,Yes,5,19,1,16,0.586338928,0.002221557,46,21.1,2927.111691,13,1713.83,12.32,12.24,28.91302182,53.41046437,3.621432295,8.7739354,6.7,93.4,93.73,0,27.6,23.66361244,0.992,13,23.6301281,80.7,12.19,17.2,#N/A,#N/A,,,,42.6334,-71.3162,Middlesex,Northeast,37.35730357,105089,105860,106739,107466,108491,109349,48002
Lubbock,TX,1600000US4845000,1.676079295,0.304568528,No,No,2.380891814,19,0,48,0.535719927,8.60E-05,42,14.7,753.6874509,0,636.11,7.19,7.28,12.25309387,22.61101908,6.061008894,9.1028717,7,82.6,80.42,2.2,28.7,7.108285988,0.998,14,13.6222397,54.6,12.33,6,#N/A,#N/A,,,,33.5779,-101.8552,Lubbock,South,319.3883615,222272,225883,229428,233162,236868,240719,44648
Madison,WI,1600000US5548000,12.53274359,0.266370323,Yes,No,5,21,6,2,0.914096332,0.00087417,45,5.2,1004.298161,13,923.53,16.72,17.14,8.080794249,24.18373396,6.465889553,7.8213418,5.6,93.4,81.94,0.7,29,12.63744475,0.994,8.6,10.374014,57.5,6.41,12.1,#N/A,#N/A,,,,43.0731,-89.4012,Dane,Upper Midwest,242.0814949,229236,231783,234586,237395,239848,243122,54896
Manchester,NH,1600000US3345140,12.63265466,0.254757127,No,Yes,4.906811846,18,0,0,1.313663501,0.000930758,39,12.6,1223.921247,0,5416,0,0,17.54716819,38.4986282,5.683726927,9.750803,5.8,87.2,93.16,0.3,25.6,34.19962627,0.996,13.8,15.8289955,70.2,12.09,9.7,#N/A,#N/A,,,,42.9956,-71.4548,Hillsborough,Northeast,89.9886331,109791,109736,109786,109942,110065,110139,54282
McAllen,TX,1600000US4845384,9.635735178,0.107954351,No,No,2.380891814,0,0,11,0.508748379,1.71E-05,48,26.5,1048.492693,9,273.59,11.88,12.09,,37.13154227,7.06605447,6.8774423,8.1,69.1,71.29,4.4,24.7,13.53439108,0.977,12.9,22.8916519,32,11.82,6.2,#N/A,#N/A,,,,26.2034,-98.23,Hidalgo,South,130.6570861,125590,128182,130297,132796,135048,136993,44254
McKinney,TX,1600000US4845744,17.66200426,0.496920493,No,Yes,2.744568605,21,0,3,0.750381121,0.001540219,42,7.8,922.0669974,4,246.5,10.97,10.92,10.85878881,26.15084157,2.15241497,5.8725597,7.9,86.6,39.13,1,18.3,18.00707362,0.997,6.4,3.7320385,10.3,6.94,3.7,#N/A,#N/A,,,,33.1972,-96.6398,Collin,South,162.747393,118652,125098,131882,137643,144066,150064,81459
Memphis,TN,1600000US4748000,14.13141583,0.127668822,No,Yes,2.765091863,19,0,21,0.72964132,0.000309251,45,16.3,788.0088288,12,3853.28,7.44,6.45,11.70512132,27.62669808,6.234336173,9.4068662,7.7,82.2,91.77,1,29.9,37.77571105,0.998,13.8,26.2860575,70,16.5,12.1,#N/A,#N/A,,,,35.1495,-90.049,Shelby,Ohio Valley ,833.9589304,654876,652123,651050,650932,656715,657167,36445
Mesa,AZ,1600000US0446000,11.40665915,0.180220456,No,No,0,19,0,18,0.609664881,0.000429552,44,12.5,1294.387649,0,563.53,13.08,12.54,8.530416138,34.80535028,2.612997428,10.5160022,6.9,83.5,82.01,13.6,25.1,2.507345727,0.993,11.8,12.123329,33.1,13.51,7.1,#N/A,#N/A,,,,33.4152,-111.8315,Maricopa,Southwest,354.4996744,439639,441711,443875,447002,452091,458860,48809
Mesquite,TX,1600000US4847892,17.66200426,0.284725568,Yes,Yes,4.60448598,19,0,48,0.572567816,0.000292555,48,19.3,1199.628043,9,844.31,34.94,39.73,17.24574863,32.20279157,1.68542456,6.8291662,7.8,76.4,86.98,0.3,25.3,17.21118709,0.997,10.9,15.0162151,41.5,14.09,4.7,#N/A,#N/A,,,,32.7668,-96.5992,Dallas,South,119.6904331,135921,137966,139615,141201,142552,143584,49604
Miami,FL,1600000US1245000,6.293377526,0.275850179,Yes,Yes,2.765091863,0,4,42,0.447582524,0.000140581,51,26.8,4306.933147,0,958.4,38.6,40.19,32.7438758,52.79206698,7.573616685,12.1235232,6.3,69.9,77.96,0.5,35.4,15.51202736,0.939,12.5,32.5891183,64.2,20.72,20.5,4.183387027,8.757936284,0.010078687,0.02371654,,25.7617,-80.1918,Miami-Dade,Southeast,98.59266107,391458,396069,401927,407526,416432,424632,31051
Miami Gardens,FL,1600000US1245060,6.293377526,0.281730469,No,No,1.86227586,17,0,42,0.779835284,0.000140581,51,19.7,2187.328262,0,NULL,0,0,0,41.45390097,6.579123557,8.0959907,5.9,73.9,91.09,1.2,38.4,15.56421549,0.968,10.5,32.2226881,76.6,16.06,7.7,1.09622303,3.481490078,0.001513393,0.006616155,,25.942,-80.2456,Miami-Dade,Southeast,51.21362072,105642,106631,107884,109150,110867,112021,38253
Midland,TX,1600000US4848072,59.09556632,0.28741221,No,No,3.813670521,19,0,29,0.552514992,0.000218124,39,17,659.3170944,13,779.35,3.01,3.36,,18.44794443,4.013891132,8.0182348,8.2,79.8,86.17,1.8,18.6,9.726042619,0.998,10.7,8.1871616,54,17.04,4.5,#N/A,#N/A,,,,31.9973,-102.0779,Midland,South,187.8003787,107559,109791,112618,115903,119409,123820,69173
Milwaukee,WI,1600000US5553000,17.96319306,0.205159197,Yes,Yes,5,18,7,5,0.797995889,0.000243739,48,17.9,2406.478233,13,1321.82,4.26,4.02,3.393674418,49.15372131,5.082585763,8.8220895,7.8,86.7,95.75,0.4,30.9,11.96775109,0.994,14,31.1632663,89.1,11.62,18.5,#N/A,#N/A,,,,43.0389,-87.9065,Milwaukee,Upper Midwest,249.1183971,589697,591957,594328,596459,598078,599498,35958
Minneapolis,MN,1600000US2743000,15.47035723,0.323529748,No,No,2.997410752,20,4,4,0.78290026,0.001121245,46,11.4,2687.451396,0,3597.73,29.91,29.39,6.721135864,47.73612488,7.780972622,8.0131841,6.9,89.4,91.31,0.2,25.8,9.255274887,0.99,10.8,16.7111085,81.5,7.92,18.1,#N/A,#N/A,,,,44.9778,-93.265,Hennepin,Upper Midwest,148.8212961,379631,381833,385023,389112,394424,399950,51480
Miramar,FL,1600000US1245975,6.293377526,0.28455449,No,No,3.784979134,0,0,42,0.563222986,0.000232211,49,9.7,1559.675768,12,243.99,17.76,16.36,44.03906638,27.32763599,1.354807282,2.4432084,6.1,80.1,60.82,2.9,34.5,20.04815892,0.977,7.4,12.6786921,28.9,7.52,2.7,0.618796809,2.176825184,0.0004895,0.000757133,,25.9861,-80.3036,Broward,Southeast,84.23802095,113707,117343,121447,124900,128414,131384,65282
Mobile,AL,1600000US0150000,24.78064766,0.046070919,Yes,No,3.813670521,19,0,1,0.821966547,3.86E-05,41,13.1,508.1847249,0,1885.86,9.89,8.5,17.38899427,16.51832063,9.606049243,11.7277143,6.8,85.3,91.57,1.4,28,49.1768968,0.997,14.8,20.5133255,69.1,10.37,9.4,9.049206602,12.07999219,0.016240876,0.02164987,,30.6954,-88.0399,Mobile,Southeast,383.0673975,195619,195457,195239,195116,194942,194669,38776
Modesto,CA,1600000US0648354,26.32129775,0.06585078,No,No,2.261912188,0,0,14,0.553534057,6.83E-05,45,18.8,2182.171064,0,751.56,13.03,12.55,8.936454849,49.53500398,5.58602674,9.210993,7.1,86.1,88.62,1.9,30.1,8.750306835,0.996,15,17.8729019,57.7,15.6,8,#N/A,#N/A,,,,37.6391,-120.9969,Stanislaus,West,95.08053857,201898,201886,201986,202629,205984,207482,48577
Montgomery,AL,1600000US0151000,16.45443343,2.219341708,No,Yes,4.478620174,17,0,6,0.617288873,4.82E-05,43,14.5,482.7886955,0,679.24,4.06,3.95,12.52907195,19.16499458,5.168327856,10.3435755,7,86.5,87.23,2.3,29.1,37.86742184,0.998,16.3,21.5911652,56.7,11.16,8.5,#N/A,#N/A,,,,32.3668,-86.3,Montgomery,Southeast,420.4054525,204788,205548,205516,204760,204095,202967,42927
Moreno Valley,CA,1600000US0649270,11.19193384,0.131385027,No,No,0,0,0,53,0.352264327,0.000116186,48,24.8,1510.66073,0,193.69,11.73,11.64,3.594027035,23.21494438,2.305914696,3.2151355,7.5,79.5,75.3,1.9,32.8,1.338621267,0.965,10,16.0369876,19.3,17.42,4.8,#N/A,#N/A,,,,33.9425,-117.2297,Riverside,West,132.9140263,187428,190977,193758,196234,198872,200788,54590
Murfreesboro,TN,1600000US4751560,12.14637579,0.509210169,Yes,No,5,20,0,5,0.831839901,7.79E-05,38,8.2,827.4200546,0,1527.99,21.59,20.02,11.84689844,27.08342362,2.424078045,6.9971697,6.6,88.5,62.31,1.4,23.9,14.89251028,0.998,8.8,12.5095467,26.4,7.34,4.5,#N/A,#N/A,,,,35.8456,-86.3903,Rutherford,Ohio Valley ,142.5914194,102602,106042,109172,111814,114660,117983,51094
Murrieta,CA,1600000US0650076,11.19193384,0.215089621,No,No,0.69764122,0,0,53,0.688867557,0.000116186,48,7.8,1237.290157,0,1664.01,6.16,5.95,18.27383827,26.65900609,2.102188695,8.1780633,6.9,88.5,48.81,4.3,26.6,3.228175916,0.998,9,6.9389628,5.8,8.58,2.8,#N/A,#N/A,,,,33.5539,-117.2139,Riverside,West,86.88907722,95668,99476,102345,104584,106326,107507,74610
Naperville,IL,1600000US1751622,13.92166333,0.215761728,No,Yes,4.248791956,21,0,16,0.767667586,0.000644876,40,3.3,1436.848802,0,789.56,25.69,24.94,3.783490602,40.18675386,2.405934178,6.8400136,5.7,94.7,85.03,0.1,19.9,11.87406903,0.998,6.5,4.1918799,29.2,3.56,3.4,#N/A,#N/A,,,,41.7508,-88.1535,DuPage,Ohio Valley ,100.9556467,140838,141401,142143,143223,144108,145058,109468
New Haven,CT,1600000US0952000,12.65920638,0.105553195,No,No,3.97435573,16,0,6,0.732519825,0.000530025,44,17,2643.838482,13,4358.05,35.6,34.07,26.63853455,43.99060059,15.71065446,11.1088787,6.1,87.3,93.83,0.1,33.5,26.86253204,0.994,11.1,27.8816982,83.2,11.2,29.2,24.6929838,26.79309711,0.005140498,0.008197008,,41.3083,-72.9279,New Haven,Northeast,49.40241277,128885,129213,129898,130338,130553,130612,37192
New Orleans,LA,1600000US2255000,27.59372053,0.491836874,No,No,3.496505444,15,5,12,0.539014365,4.51E-05,53,14.8,411.5696563,2,3796.7,4.8,5.14,37.63341164,11.14458774,4.416862647,9.755779,6.2,83.8,89.66,0.8,33.2,9.04671151,0.996,13.6,20.5739846,78.1,11.31,18.9,3.446692396,19.34819424,0.024355786,0.024355786,,29.9511,-90.0715,Orleans Parish,South,915.3687456,295285,321409,341407,357013,368471,376738,36792
New York,NY,1600000US3651000,0.030011761,0.319734356,No,No,0,19,4,19,0.396861085,0.000107118,55,19.7,10981.32621,2,8346.27,9.21,8.02,5.23503123,62.71734441,2.960811787,10.607557,6.6,87.6,92.87,0.1,28.3,12.76095828,0.985,10.4,21.4233982,84.7,10.26,55.2,0.537360639,0.764162382,0.001044192,0.007493413,,40.7128,-74.006,New York,Northeast,767.3702463,8078471,8128980,8199221,8268999,8354889,8426743,53373
Newark,NJ,1600000US3451000,0.030011761,0.071325859,Yes,Yes,5,16,1,23,0.386774009,0.000203383,53,27.7,4477.480562,12,1074.42,12.83,11.27,9.63321704,68.19363115,7.451937683,9.0865929,7.8,75.2,85.96,0.1,31.3,8.814897712,0.992,17.6,30.7569463,72.9,21.96,39.7,8.159961114,8.562758897,0.000413633,0.000432711,,40.7357,-74.1724,Essex,Northeast,62.48893683,274674,275512,276478,277357,278750,279793,33139
Newport News,VA,1600000US5156000,1.501617957,0.0958979,Yes,No,3.795811944,20,1,40,0.642243021,9.38E-05,44,11,1011.933607,0,4258.55,25.51,26.54,10.61883645,24.57817303,4.092144957,9.116442,7.3,86.8,87.9,2.4,23.5,35.81523831,0.998,12.6,15.9700607,55.8,14.3,9.2,0.004412016,6.590449088,0.002533359,0.045616782,,37.0871,-76.473,Newport News,Southeast,179.1846805,181822,181009,180831,181025,181362,181323,50077
Norfolk,VA,1600000US5157000,1.501617957,0.100518336,No,No,2.97177735,19,1,40,0.376740109,6.11E-05,49,13,1629.687212,0,4098.26,22.39,21.68,17.08491516,37.55767865,5.369685315,9.1446953,6.9,83.9,89.97,0.9,28.5,15.87059938,0.996,12.5,17.8838532,73.1,14.42,12.4,10.15799423,12.19668204,0.049909147,0.085329977,,36.8508,-76.2859,Norfolk,Southeast,150.6129509,242143,241943,243056,244090,244745,245452,44480
Norman,OK,1600000US4052500,8.189505547,0.121850556,No,No,2.953234493,19,0,6,0.616607428,0.000193586,39,7,240.7741166,13,1127.74,1.16,1.08,26.60329634,6.942642138,5.027566402,8.3075416,5.5,88.3,77.88,3.6,29.3,39.38573832,0.998,12,10.4206097,47.2,8.29,5.3,#N/A,#N/A,,,,35.2226,-97.4395,Cleveland,South,487.3987356,108265,109821,111753,113743,115521,117353,51491
North Las Vegas,NV,1600000US3251800,4.729880107,0.129949033,No,Yes,2.810262902,12,0,0,0.535168196,0.000205348,45,21.8,871.3818847,0,441.6,0.29,0.29,1.309215288,17.40821412,1.710305916,5.3329645,8.1,79.2,44.89,1.2,26.1,0.529454099,0.997,10.5,16.0993507,16.3,18.14,6.6,#N/A,#N/A,,,,36.1989,-115.1175,Clark,West,260.3450955,203951,210458,215762,219725,223336,226860,52511
Norwalk,CA,1600000US0652526,10.45625624,0.265579256,Yes,No,1.835717034,0,0,53,0.347879646,0.000361114,48,26.5,4237.982058,0,1380.2,4.87,4.98,0,64.81289218,1.565737537,6.5895317,7,80.5,97.44,1.6,28.4,4.026804491,0.971,10.1,11.4490358,86.5,15.9,5.7,#N/A,#N/A,,,,33.9022,-118.0817,Los Angeles,West,25.16740244,105108,105348,105603,105940,106455,106659,59756
Oakland,CA,1600000US0653000,10.49677557,0.405127326,Yes,Yes,5,19,2,12,0.559077541,0.001952702,55,19.6,2839.120687,0,6065.91,10.26,11.44,5.016846326,48.4774892,3.109737718,9.6721456,6.4,86,92.55,0.4,27.5,18.50337721,0.963,12.1,13.295334,81.9,12.41,17.3,1.652645483,2.679667608,0.000173917,0.000327574,,37.8044,-122.2711,Alameda,West,143.732178,386909,389397,392890,397011,402339,408073,54618
Oceanside,CA,1600000US0653322,11.9488786,0.262675473,Yes,Yes,5,0,1,7,0.636452093,0.001694023,45,14.3,1589.831978,0,1312.56,10.01,9.43,10.83810905,39.75099347,2.294134643,10.3251616,6.5,85.4,89.95,4.3,24.5,5.76074527,0.977,10.8,6.5577835,43.4,12.52,5.3,0.08436868,0.123085813,0.000738599,0.006329209,,33.1959,-117.3795,San Diego,West,108.8479804,164709,166139,167799,169407,171400,173050,57703
Oklahoma City,OK,1600000US4055000,8.189505547,0.866482867,Yes,Yes,4.443978723,21,1,6,0.611485072,9.68E-05,42,15,382.4723222,0,1558.3,4.23,4.35,9.187468871,16.03372103,6.638588309,8.9781016,7.9,81.6,82.42,3.2,23.3,22.15294191,0.998,13.2,15.8012349,56.7,14.95,6.8,#N/A,#N/A,,,,35.4676,-97.5164,Oklahoma,South,1596.643638,563571,572742,581094,590995,600729,610672,47779
Olathe,KS,1600000US2052575,11.83588339,0.214658713,No,No,4.897303906,0,0,2,0.719871855,0.001076191,40,6,849.6686552,0,1026.9,10.21,10.34,3.219121741,25.3807927,1.74133893,6.2371562,7.7,90.4,72.44,1.1,19.3,13.61475702,0.998,7.8,5.4260854,28.5,9.23,3.6,#N/A,#N/A,,,,38.8814,-94.8191,Johnson,South,154.7756284,120774,123430,125902,128050,129913,131508,77335
